Rk,Tm,Year,Date,Time,LTime,Opp,Week,Game,Result,Total Yardage,O Plays,Y/P,D Plays,DY/P,TO
463,SDG,2015,10/4/2015,4:05,1:05,CLE,4,4,W 30-27,438,61,7.1803,66,6.5455,
464,MIA,2016,12/24/2016,1:00,1:00,BUF,16,15,W 34-31,494,68,7.2647,90,6.5444,1
465,DEN,2016,12/25/2016,8:30,7:30,KAN,16,15,L 10-33,246,57,4.3158,74,6.5405,3
466,MIA,2013,12/8/2013,1:02,1:02,PIT,14,13,W 34-28,367,60,6.1167,63,6.5397,1
467,TEN,2012,10/11/2012,8:29,7:29,PIT,6,6,W 26-23,359,69,5.2029,63,6.5397,1
468,NOR,2015,12/6/2015,4:25,3:25,CAR,13,12,L 38-41,334,58,5.7586,76,6.5395,1
469,KAN,2013,10/27/2013,1:02,12:02,CLE,8,8,W 23-17,331,71,4.662,52,6.5385,
470,STL,2014,9/21/2014,1:00,12:00,DAL,3,3,L 31-34,448,72,6.2222,52,6.5385,3
471,SDG,2014,10/23/2014,8:26,6:26,DEN,8,8,L 21-35,306,58,5.2759,65,6.5385,2
472,TAM,2013,10/13/2013,1:03,1:03,PHI,6,5,L 20-31,351,66,5.3182,65,6.5385,1
473,CHI,2012,11/19/2012,8:40,5:40,SFO,11,10,L 7-32,143,56,2.5536,54,6.537,2
474,CHI,2013,12/15/2013,1:03,1:03,CLE,15,14,W 38-31,440,64,6.875,56,6.5357,3
475,MIA,2017,11/5/2017,8:30,8:30,OAK,9,8,L 24-27,395,61,6.4754,58,6.5345,1
476,DET,2017,10/29/2017,8:30,8:30,PIT,8,7,L 15-20,482,69,6.9855,60,6.5333,1
477,OAK,2012,9/30/2012,4:05,2:05,DEN,4,4,L 6-37,237,53,4.4717,77,6.5325,
478,DET,2015,9/13/2015,4:05,1:05,SDG,1,1,L 28-33,302,47,6.4255,74,6.527,2
479,NWE,2013,12/1/2013,1:02,12:02,HOU,13,12,W 34-31,453,69,6.5652,59,6.5254,1
480,OAK,2015,11/15/2015,4:05,1:05,MIN,10,9,L 14-30,371,64,5.7969,59,6.5254,2
481,SDG,2015,11/22/2015,4:05,1:05,KAN,11,10,L 3-33,201,58,3.4655,59,6.5254,2
482,DET,2017,11/19/2017,1:00,12:00,CHI,11,10,W 27-24,352,58,6.069,61,6.5246,1
483,WAS,2016,11/20/2016,8:30,8:30,GNB,11,10,W 42-24,515,62,8.3065,65,6.5231,
484,DEN,2013,9/29/2013,4:25,2:25,PHI,4,4,W 52-20,472,71,6.6479,69,6.5217,
485,KAN,2016,10/23/2016,1:03,12:03,NOR,7,6,W 27-21,326,52,6.2692,71,6.5211,
486,TEN,2016,11/6/2016,4:25,1:25,SDG,9,9,L 35-43,393,62,6.3387,73,6.5205,3
487,IND,2015,10/18/2015,8:30,8:30,NWE,6,6,L 27-34,409,75,5.4533,64,6.5156,
488,WAS,2013,11/3/2013,1:03,1:03,SDG,9,8,W 30-24,500,72,6.9444,63,6.5079,1
489,MIA,2016,11/27/2016,1:00,1:00,SFO,12,11,W 31-24,358,58,6.1724,73,6.5068,
490,CLE,2016,10/9/2016,1:02,1:02,NWE,5,5,L 13-33,262,59,4.4407,77,6.5065,1
491,NOR,2014,12/21/2014,1:03,12:03,ATL,16,15,L 14-30,328,70,4.6857,62,6.5,4
492,SFO,2015,12/13/2015,1:02,1:02,CLE,14,13,L 10-24,221,54,4.0926,74,6.5,
493,TEN,2016,10/23/2016,1:02,12:02,IND,7,7,L 26-34,331,68,4.8676,65,6.4923,1
494,NYG,2015,11/8/2015,4:05,4:05,TAM,9,9,W 32-18,327,73,4.4795,59,6.4915,2
495,TEN,2015,12/6/2015,1:02,12:02,JAX,13,12,W 42-39,467,68,6.8676,59,6.4915,2
496,SEA,2016,12/24/2016,4:25,1:25,ARI,16,15,L 31-34,391,78,5.0128,57,6.4912,1
497,MIN,2015,10/4/2015,4:25,2:25,DEN,4,4,L 20-23,325,69,4.7101,53,6.4906,1
498,SDG,2012,11/11/2012,1:03,1:03,TAM,10,9,L 24-34,426,65,6.5538,43,6.4884,2
499,CIN,2014,10/19/2014,1:02,1:02,IND,7,6,L 0-27,135,54,2.5,78,6.4872,
500,ARI,2012,9/30/2012,4:05,1:05,MIA,4,4,W 24-21,297,71,4.1831,74,6.4865,2
501,PHI,2017,9/24/2017,1:00,1:00,NYG,3,3,W 27-24,354,73,4.8493,64,6.4844,1
502,PIT,2012,12/16/2012,4:25,3:25,DAL,15,14,L 24-27,388,61,6.3607,64,6.4844,2
503,WAS,2013,11/17/2013,1:02,1:02,PHI,11,10,L 16-24,427,77,5.5455,62,6.4839,2
504,CAR,2014,10/19/2014,1:02,12:02,GNB,7,7,L 17-38,331,67,4.9403,56,6.4821,1
505,DET,2016,9/25/2016,1:02,12:02,GNB,3,3,L 27-34,418,67,6.2388,50,6.48,1
506,BAL,2012,9/16/2012,1:03,1:03,PHI,2,2,L 23-24,325,65,5,75,6.48,2
507,CAR,2012,11/26/2012,8:32,8:32,PHI,12,11,W 30-22,398,65,6.1231,48,6.4792,
508,SEA,2014,11/16/2014,1:04,12:04,KAN,11,10,L 20-24,372,71,5.2394,46,6.4783,
509,JAX,2013,10/20/2013,1:02,1:02,SDG,7,7,L 6-24,353,59,5.9831,67,6.4776,1
510,TAM,2017,10/22/2017,1:00,1:00,BUF,7,6,L 27-30,447,70,6.3857,67,6.4776,3
511,OAK,2017,11/5/2017,8:30,8:30,MIA,9,9,W 27-24,379,58,6.5345,61,6.4754,2
512,PHI,2014,12/28/2014,1:02,1:02,NYG,17,16,W 34-26,426,72,5.9167,78,6.4744,1
513,DET,2016,12/4/2016,1:00,12:00,NOR,13,12,W 28-13,422,67,6.2985,57,6.4737,
514,DAL,2015,10/11/2015,4:25,3:25,NWE,5,5,L 6-30,265,66,4.0152,55,6.4727,2
515,GNB,2015,11/8/2015,1:04,1:04,CAR,9,8,L 29-37,402,72,5.5833,66,6.4697,2
516,PHI,2013,12/29/2013,8:30,7:30,DAL,17,16,W 24-22,366,66,5.5455,64,6.4688,1
517,GNB,2017,10/22/2017,1:00,12:00,NOR,7,7,L 17-26,260,50,5.2,75,6.4667,1
518,CHI,2012,12/2/2012,1:03,12:03,SEA,13,12,L 17-23,365,59,6.1864,71,6.4648,
519,NOR,2012,9/9/2012,1:03,12:03,WAS,1,1,L 32-40,358,64,5.5938,71,6.4648,3
520,PIT,2014,9/21/2014,8:31,8:31,CAR,3,3,W 37-19,454,65,6.9846,54,6.463,
521,TEN,2012,10/7/2012,4:15,3:15,MIN,5,5,L 7-30,267,69,3.8696,67,6.4627,2
522,MIN,2013,11/17/2013,4:26,1:26,SEA,11,10,L 20-41,336,70,4.8,50,6.46,4
523,SFO,2013,10/20/2013,4:06,3:06,TEN,7,7,W 31-17,349,64,5.4531,57,6.4561,
524,CAR,2012,9/30/2012,1:03,1:03,ATL,4,4,L 28-30,404,63,6.4127,66,6.4545,1
525,CHI,2017,10/29/2017,1:00,12:00,NOR,8,8,L 12-20,307,65,4.7231,60,6.45,1
526,DAL,2012,10/14/2012,1:02,1:02,BAL,6,5,L 29-31,481,79,6.0886,49,6.449,1
527,CLE,2014,12/28/2014,1:02,1:02,BAL,17,16,L 10-20,259,61,4.2459,65,6.4462,2
528,STL,2013,9/15/2013,1:03,1:03,ATL,2,2,L 24-31,421,73,5.7671,61,6.4426,1
529,GNB,2014,9/28/2014,1:02,12:02,CHI,4,4,W 38-17,358,47,7.617,77,6.4416,
530,CLE,2012,10/14/2012,1:02,1:02,CIN,6,6,W 34-24,328,65,5.0462,68,6.4412,1
531,NYJ,2017,12/17/2017,1:00,12:00,NOR,15,14,L 19-31,294,68,4.3235,64,6.4375,2
532,PHI,2016,12/4/2016,1:00,1:00,CIN,13,12,L 14-32,359,80,4.4875,64,6.4375,3
533,NWE,2013,9/29/2013,8:30,8:30,ATL,4,4,W 30-23,448,62,7.2258,71,6.4366,
534,ARI,2015,10/4/2015,4:25,1:25,STL,4,4,L 22-24,447,71,6.2958,51,6.4314,3
535,WAS,2012,9/30/2012,4:25,4:25,TAM,4,4,W 24-22,474,67,7.0746,58,6.431,
536,SFO,2016,9/25/2016,4:05,1:05,SEA,3,3,L 18-37,254,56,4.5357,65,6.4308,1
537,IND,2016,12/24/2016,4:05,1:05,OAK,16,15,L 25-33,390,53,7.3585,72,6.4306,3
538,ATL,2013,12/1/2013,4:05,4:05,BUF,13,12,W 34-31,423,83,5.0964,63,6.4286,1
539,CHI,2014,9/7/2014,1:00,12:00,BUF,1,1,L 20-23,427,69,6.1884,56,6.4286,3
540,PIT,2017,12/17/2017,4:25,4:25,NWE,15,14,L 24-27,413,63,6.5556,56,6.4286,1
541,WAS,2016,9/12/2016,7:11,7:11,PIT,1,1,L 16-38,384,55,6.9818,68,6.4265,2
542,SDG,2015,9/13/2015,4:05,1:05,DET,1,1,W 33-28,483,74,6.527,47,6.4255,3
543,SEA,2017,12/10/2017,4:25,1:00,JAX,14,13,L 24-30,401,57,7.0351,66,6.4242,3
544,DET,2012,11/22/2012,12:39,12:39,HOU,12,11,L 31-34,525,87,6.0345,78,6.4231,1
545,MIN,2014,9/28/2014,4:25,3:25,ATL,4,4,W 41-28,558,74,7.5405,64,6.4219,
546,KAN,2012,12/30/2012,4:25,2:25,DEN,17,16,L 3-38,119,48,2.4792,76,6.4211,
547,TEN,2013,11/24/2013,4:05,1:05,OAK,12,11,W 23-19,426,73,5.8356,55,6.4182,
548,WAS,2016,11/24/2016,4:30,3:30,DAL,12,11,L 26-31,505,72,7.0139,55,6.4182,
549,ATL,2012,9/30/2012,1:03,1:03,CAR,4,4,W 30-28,426,66,6.4545,63,6.4127,1
550,NYG,2015,9/13/2015,8:31,7:31,DAL,1,1,L 26-27,289,61,4.7377,68,6.4118,
551,BAL,2017,12/10/2017,8:30,8:30,PIT,14,13,L 38-39,413,62,6.6613,85,6.4118,1
552,BAL,2012,12/9/2012,1:03,1:03,WAS,14,13,L 28-31,359,58,6.1897,66,6.4091,2
553,DAL,2014,9/14/2014,1:03,12:03,TEN,2,2,W 26-10,368,76,4.8421,49,6.4082,1
554,BUF,2015,11/8/2015,1:02,1:02,MIA,9,8,W 33-17,420,51,8.2353,62,6.4032,
555,CHI,2014,12/4/2014,8:26,7:26,DAL,14,13,L 28-41,376,61,6.1639,62,6.4032,2
556,STL,2012,9/9/2012,1:03,1:03,DET,1,1,L 23-27,250,55,4.5455,67,6.403,
557,MIN,2014,12/21/2014,1:03,1:03,MIA,16,15,L 35-37,357,58,6.1552,77,6.4026,1
558,NOR,2015,11/1/2015,1:02,12:02,NYG,8,8,W 52-49,608,76,8,65,6.4,2
559,SEA,2015,9/13/2015,1:00,12:00,STL,1,1,L 31-34,343,79,4.3418,55,6.4,1
560,TAM,2016,9/18/2016,1:05,1:05,ARI,2,2,L 7-40,306,76,4.0263,65,6.4,5
561,BUF,2017,12/3/2017,1:00,1:00,NWE,13,12,L 3-23,268,64,4.1875,68,6.3971,1
562,SFO,2013,10/13/2013,4:25,1:25,ARI,6,6,W 32-20,387,69,5.6087,63,6.3968,2
563,WAS,2014,10/6/2014,8:30,8:30,SEA,5,5,L 17-27,307,54,5.6852,63,6.3968,
564,ATL,2016,9/18/2016,4:25,1:25,OAK,2,2,W 35-28,528,64,8.25,71,6.3944,1
565,NOR,2012,11/11/2012,1:02,12:02,ATL,10,9,W 31-27,440,62,7.0968,71,6.3944,1
566,ARI,2014,12/7/2014,4:05,2:05,KAN,14,13,W 17-14,366,65,5.6308,61,6.3934,
567,OAK,2016,11/27/2016,4:25,1:25,CAR,12,11,W 35-32,366,71,5.1549,56,6.3929,2
568,DAL,2014,10/27/2014,8:30,7:30,WAS,8,8,L 17-20,395,64,6.1719,64,6.3906,2
569,KAN,2017,12/24/2017,1:00,12:00,MIA,16,15,W 29-13,404,74,5.4595,54,6.3889,
570,MIA,2012,9/16/2012,1:02,1:02,OAK,2,2,W 35-13,452,74,6.1081,62,6.3871,
571,BUF,2017,10/22/2017,1:00,1:00,TAM,7,6,W 30-27,434,67,6.4776,70,6.3857,1
572,IND,2014,10/9/2014,8:26,7:26,HOU,6,6,W 33-28,456,82,5.561,52,6.3846,2
573,STL,2014,9/14/2014,4:05,4:05,TAM,2,2,W 19-17,339,60,5.65,52,6.3846,1
574,DAL,2017,11/19/2017,8:30,7:30,PHI,11,10,L 9-37,225,63,3.5714,60,6.3833,4
575,JAX,2012,11/4/2012,1:04,1:04,DET,9,8,L 14-31,279,59,4.7288,68,6.3824,2
576,NOR,2012,9/30/2012,4:25,3:25,GNB,4,4,L 27-28,474,75,6.32,66,6.3788,
577,PIT,2015,11/8/2015,1:02,1:02,OAK,9,9,W 38-35,597,81,7.3704,69,6.3768,2
578,CLE,2015,11/1/2015,1:02,1:02,ARI,8,8,L 20-34,254,61,4.1639,77,6.3766,2
579,DAL,2015,11/8/2015,8:31,7:31,PHI,9,8,L 27-33,411,71,5.7887,72,6.375,1
580,GNB,2016,1/1/2017,8:30,8:30,DET,17,16,W 31-24,448,71,6.3099,64,6.375,
581,STL,2015,11/29/2015,1:02,1:02,CIN,12,11,L 7-31,345,71,4.8592,59,6.3729,3
582,HOU,2016,11/21/2016,8:30,7:30,OAK,11,10,L 20-27,354,74,4.7838,51,6.3725,2
583,SDG,2015,11/9/2015,8:30,5:30,CHI,9,9,L 19-22,339,63,5.381,70,6.3714,1
584,SFO,2015,9/27/2015,4:05,1:05,ARI,3,3,L 7-47,156,50,3.12,70,6.3714,4
585,DAL,2013,12/15/2013,4:25,3:25,GNB,15,14,L 36-37,466,69,6.7536,68,6.3676,2
586,TEN,2012,10/21/2012,1:02,1:02,BUF,7,7,W 35-34,390,62,6.2903,60,6.3667,
587,NWE,2016,11/13/2016,8:30,8:30,SEA,10,9,L 24-31,385,62,6.2097,66,6.3636,2
588,TAM,2013,11/17/2013,1:03,1:03,ATL,11,10,W 41-28,410,65,6.3077,66,6.3636,
589,WAS,2015,11/15/2015,1:05,1:05,NOR,10,9,W 47-14,510,59,8.6441,55,6.3636,
590,DAL,2012,12/16/2012,4:25,3:25,PIT,15,14,W 27-24,415,64,6.4844,61,6.3607,1
591,MIN,2013,10/27/2013,8:30,7:30,GNB,8,7,L 31-44,243,43,5.6512,73,6.3562,
